tweet_id,date,location,bounding_box,lang,text,important_tweet,emoji,hastag
1327961071332757504,Sun Nov 15 13:06:06 +0000 2020,,empty,fr,beh ans cdi petits boulots n'aurai retraite,1,🙃,
1327961077380952064,Sun Nov 15 13:06:07 +0000 2020,,empty,fr,pose,1,,covid19 pfizervaccine holdup
1327961079624953859,Sun Nov 15 13:06:08 +0000 2020,Pantin/Paris,empty,fr,n’ose imaginer réactions musulmans mosquée,1,,
1327961087719968769,Sun Nov 15 13:06:10 +0000 2020,"Nord-Pas-de-Calais, France",empty,fr,héros temps résistance d'aujourd'hui,1,,
1327961091515805696,Sun Nov 15 13:06:11 +0000 2020,,empty,fr,,1,,
1327961093466185730,Sun Nov 15 13:06:11 +0000 2020,"Lille, France",empty,fr,n’ose imaginer réactions musulmans mosquée,1,,
1327961093856256000,Sun Nov 15 13:06:11 +0000 2020,"Columbus, OH",empty,fr,excellent,1,,
1327961107319959559,Sun Nov 15 13:06:14 +0000 2020,"Grenoble, France",empty,fr,n’ose imaginer réactions musulmans mosquée,1,,
1327961107772878850,Sun Nov 15 13:06:15 +0000 2020,,empty,fr,n’ose imaginer réactions musulmans mosquée,1,,
1327961110935441417,Sun Nov 15 13:06:15 +0000 2020,Fran,empty,fr,6ème puissance mondiale fondation france compte 300 000…,3,🔴,
1327961114227990530,Sun Nov 15 13:06:16 +0000 2020,,empty,fr,n’ose imaginer réactions musulmans mosquée,1,,
1327961115654025224,Sun Nov 15 13:06:16 +0000 2020,,empty,fr,sert d'ouvrir frontières libye,1,,tunisie covid19
1327961115834331138,Sun Nov 15 13:06:16 +0000 2020,"Brussels, Belgium",empty,fr,solidaire suite tragédie l'hôpital piatra neamt patients,1,,france roumanie covid19
1327961144473038848,Sun Nov 15 13:06:23 +0000 2020,IdF,empty,fr,effectivement professeur supposait faible prévalence en…,6,,raoult covid19
1327961156884049920,Sun Nov 15 13:06:26 +0000 2020,L'Isle sur la Sorgue,empty,fr,c'est dégueulasse ignoble bande salopards,1,,
1327961166056992768,Sun Nov 15 13:06:28 +0000 2020,FRANCE,empty,fr,,1,,
1327961168644812800,Sun Nov 15 13:06:29 +0000 2020,,empty,fr,est-il arrivé séquence issue nuit temps pourtant,1,,
1327961174747607047,Sun Nov 15 13:06:31 +0000 2020,,empty,fr,,1,,
1327961180707708928,Sun Nov 15 13:06:32 +0000 2020,France,empty,fr,ptdr convention 2021,1,🙃,
1327961185577267201,Sun Nov 15 13:06:33 +0000 2020,"Paris, France",empty,fr,seigneur c’est fin,1,😩😩😩😩,
1327720598278115330,Sat Nov 14 21:10:33 +0000 2020,,empty,fr,est-ce qu’il jeunes ans opposés revenu universel l’ia générale n’en connais l’opposition l’ia générale agi nécessaire l’opposition crédible,1,,revenudebase jeunesse pauvreté
